code,species,population,treatment,transpiration,lma,gmin,
360,hakea cinerea,scaddan,w,0.197085841,204.4087322,7.740257691,
361,hakea varia,wanneroo,w,0.258870834,213.2460705,7.116740957,
362,hakea varia,wanneroo,w,0.498856743,241.3369211,7.83674714,
363,hakea dactyloides,woodford,w,0.043121778,138.2674,2.370962505,
364,hakea teretifolia,blue mountains,d,0.266382607,471.2786892,4.882167123,
366,hakea leucoptera,broken hill,d,0.123856431,724.8311562,3.404995922,
367,hakea leucoptera,broken hill,w,1.622559802,409.4140289,8.921312323,
374,hakea dactyloides,blue mountains,d,0.034508451,175.4843058,1.897376427,
383,hakea leucoptera,binya,w,1.626989412,611.3325895,9.939630693,
393,hakea elliptica,albany,d,0.03256773,119.8709105,1.492224864,
394,hakea varia,wanneroo,d,0.143630915,239.5582629,3.948625653,
400,hakea varia,wanneroo,w,0.565474577,257.2598951,7.772864996,
402,hakea prostrata,inland,w,0.12568482,152.366729,5.758768386,
414,hakea leucoptera,toorale,w,0.325831574,623.887748,5.971726967,
419,hakea dactyloides,blue mountains,d,0.023363158,240.8092447,1.284575356,
420,hakea dactyloides,blue mountains,d,0.02536446,225.3456,1.394612806,
422,hakea dactyloides,blue mountains,w,0.049696288,150.7112288,2.732448455,
427,hakea leucoptera,binya,w,1.040916337,643.9837579,6.359183343,
430,hakea salicifolia,saligna,w,0.151638835,145.4577521,8.337550348,
433,hakea leucoptera,mildura,w,1.122399105,452.3699874,8.816116147,
434,hakea leucoptera,mildura,w,2.201473332,441.1190479,8.645964032,
438,hakea salicifolia,angustifolia,d,0.028034006,171.6415156,1.541392309,
439,hakea elliptica,albany,w,0.091853499,132.0630619,4.208646905,
440,hakea varia,wanneroo,d,0.149957422,241.2258935,4.122550648,
441,hakea varia,wanneroo,d,0.164594034,276.851833,4.524932696,
449,hakea prostrata,inland,d,0.02094118,199.5103369,1.151407852,
