gmin,method,species
7.2,A,Polygonatum multiflorum
5,C,Populus tremula
6.3,D,Prenanthes purpurea
5.5,D,Prenanthes purpurea
0.7,C,Prunus avium
3.7,D,Prunus avium
0.3,D,Prunus avium
3,C,Prunus laurocerasus
3.3,E1,Prunus laurocerasus
1.7,A,Prunus laurocerasus
5,C,Prunus laurocerasus
0.6,A,Prunus laurocerasus
0.3,D,Pseudotsuga menziesii
3,E2,Pseudotsuga menziesii
10,D,Pulmonaria officinalis
21,D,Pulmonaria officinalis
2.2,D,Puya
1.2,A,Pyrus communis
2.1,A,Pyrus communis
7.4,D,Quercus alba
10,C,Quercus coccifera
3.6,C,Quercus ilex
47,E1,Quercus macrocarpa
4.9,E1,Quercus robur
2.2,C,Quercus robur
3,C,Quercus robur
6.9,D,Quercus robur
8.9,D,Quercus robur
7.3,C,Quercus robur
27,C,Quercus sessiliflora
11,D,Quercus stellata
8.4,C,Rhamnus alaternus
11,C,Rhamnus alnifolius
11,C,Rhamnus glandulosus
5,D,Rhododendron ferrugineum
2.4,E1,Rhododendron hybridum
15,E1,Rosa
28,D,Rumex acetosa
11,D,Ruta graveolens
0.5,D,Sabal palmetto
0.1,A,Schefflera actinophylla
14,D,Sedum maximum
14,E2,Sedum purpureum
69,E1,Solanum melongena
7.1,E1,Sorghum bicolor
12,D,Sorghum bicolor
13,D,Sorghum bicolor
1.9,E1,Sorghum bicolor
1.2,E1,Sorghum bicolor
25,E1,Sorghum bicolor
19,E1,Sorghum bicolor
9.7,E1,Sorghum bicolor
8.6,E1,Sorghum bicolor
4.5,E3,Sorghum dochna
13,D,Stachys recta
11,D,Stachys recta
12,D,Stellaria nemorum
18,E1,Suaeda maritima
7.3,D,Tilia cordata
0.8,D,Tillandsia achyrostachys
1.4,D,Tillandsia capitata
1.7,D,Tillandsia karwinskyana
1.2,D,Tillandsia multicaulis
1.6,D,Tillandsia polystachia
27,E1,Trifolium repens
12,D,Triticum aestivum
15,D,Triticum aestivum
15,E3,Triticum aestivum
9.4,E3,Triticum aestivum
22,E1,Triticum aestivum
23,D,Triticum turgidum
10,D,Triticum
22,D,Triticum
24,D,Triticum vulgaris
7,E2,Tsuga heterophylla
4.2,C,Urtica dioica
7.6,D,Vaccinium myrtillus
12.5,D,Vaccinium uliginosum
0.1,A,Vanilla planifolia
28,D,Veronica beccabunga
6.6,D,Vicia sepum
4.5,D,Vigna mungo
3,D,Vigna unguiculata
0.8,A,Vinca minor
0.8,D,Vriesea carinata
4.8,E1,Zea mays
2.4,E1,Zea mays
40,E3,Zea mays
12,D,Zea mays
14,D,Zea mays
29,E3,Zea mays
6.2,E1,Zea mays
8.9,E1,Zea mays
