,mmol/s/m2,mmol/s/m2,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,,Kg,Kg,%,%,%,%,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg
Days, E, g_leaf, P_leaf_symplasmic,  P_leaf_apoplasmic, P_branch_s, P_branch_a, P_trunk_s, P_trunk_a, P_root_s, P_root_a, P_soil, REW, Q_H20_plant, DQ_soil, PLC_leaf, PLC_branch, PLC_trunk, PLC_root, Q_H20_leaf_s, Q_leaf_a, Q_branch_s, Q_branch_a, Q_trunk_s, Q_trunk_a, Q_root_s, Q_root_a
18.65,0.01822084,2,-2.072022,-2.067122,-2.065091,-2.065154,-2.063921,-2.0642,-2.062561,-2.063378,-2.054212,0.23439,0.1662028,5.526498,13.40362,13.35804,13.33591,13.31682,0.02714712,0.0108099,0.008474361,0.005768362,0.05087353,0.03461888,0.01696878,0.01154189
19.65,0.01820953,2,-2.12266,-2.117772,-2.115701,-2.115774,-2.114522,-2.114808,-2.113143,-2.113974,-2.104415,0.2329572,0.1628453,5.536808,14.62332,14.57351,14.54947,14.52874,0.02649951,0.01065691,0.008271642,0.005687046,0.04965612,0.03413174,0.01656261,0.01137974
20.65,0.01819793,2,-2.174617,-2.169724,-2.167626,-2.167696,-2.166437,-2.166715,-2.165036,-2.165873,-2.155917,0.2315312,0.1594528,5.547071,15.96902,15.91469,15.88851,15.8659,0.02586637,0.01048823,0.0080735,0.005597382,0.04846619,0.03359462,0.01616562,0.01120094
21.65,0.01818603,2,-2.227891,-2.222987,-2.220864,-2.220927,-2.219664,-2.21993,-2.218239,-2.219081,-2.208712,0.2301129,0.1560185,5.557277,17.45123,17.39197,17.36332,17.3387,0.02524784,0.01030255,0.007879962,0.005498682,0.04730398,0.03300341,0.0157779,0.01100415
22.65,0.01817386,2,-2.282476,-2.277552,-2.275408,-2.275458,-2.274194,-2.27444,-2.272743,-2.273589,-2.262794,0.2287034,0.1525352,5.56742,19.08032,19.01554,18.98432,18.9575,0.02464404,0.01009861,0.00769107,0.005390275,0.04616973,0.03235399,0.01539952,0.01078797
23.65,0.01816139,2,-2.338363,-2.333436,-2.331248,-2.331306,-2.330018,-2.330246,-2.328539,-2.329374,-2.318152,0.2273038,0.1489963,5.577492,20.86601,20.79554,20.76121,20.73204,0.02405505,0.009875177,0.007506847,0.005271489,0.04506357,0.03164252,0.01503052,0.01055113
24.65,0.01814864,2,-2.39554,-2.390642,-2.388371,-2.388445,-2.387124,-2.387387,-2.385611,-2.386494,-2.374775,0.2259149,0.1453955,5.587488,22.81737,22.7404,22.70297,22.67119,0.0234809,0.009631148,0.007327305,0.005141771,0.04398555,0.03086544,0.01467094,0.01029246
25.65,0.01813561,2,-2.453999,-2.449138,-2.446771,-2.446872,-2.4455,-2.445741,-2.443951,-2.444873,-2.432649,0.2245376,0.1417273,5.597401,24.9417,24.85798,24.81691,24.7824,0.02292154,0.009365618,0.007152417,0.005000602,0.04293557,0.03001988,0.01432072,0.01001097
26.65,0.0181223,2,-2.513736,-2.508872,-2.506446,-2.50654,-2.505142,-2.505425,-2.503553,-2.504484,-2.491766,0.2231724,0.1379873,5.607226,27.24474,27.15314,27.10859,27.07127,0.02237683,0.009077882,0.006982128,0.004847665,0.04191338,0.02910365,0.01397979,0.009705943
27.65,0.01810872,2,-2.574746,-2.569887,-2.567371,-2.56748,-2.566041,-2.566335,-2.564402,-2.565365,-2.55212,0.2218199,0.1341723,5.616961,29.72968,29.63065,29.58156,29.54096,0.0218466,0.008767554,0.006816438,0.004682648,0.04091866,0.02811535,0.01364807,0.009376955
