,mmol/s/m2,mmol/s/m2,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,,Kg,Kg,%,%,%,%,Kg,Kg,Kg,Kg,Kg,Kg,Kg,Kg
Days, E, g_leaf, P_leaf_s,  P_leaf_a, P_branch_s, P_branch_a, P_trunk_s, P_trunk_a, P_root_s, P_root_a, P_soil, REW, Q_plant, DQ_soil, PLC_leaf, PLC_branch, PLC_trunk, PLC_root, Q_leaf_s, Q_leaf_a, Q_branch_s, Q_branch_a, Q_trunk_s, Q_trunk_a, Q_root_s, Q_root_a
18.65,0.03630721,4,-2.372834,-2.36305,-2.358556,-2.356794,-2.356072,-2.356636,-2.353084,-2.354174,-2.332128,0.2267461,0.1472538,5.58014,21.86045,21.71224,21.64149,21.58085,0.02370559,0.009750801,0.007419931,0.00521036,0.04456526,0.03129019,0.01487373,0.0104379
19.65,0.03625497,4,-2.489963,-2.480226,-2.475436,-2.475639,-2.472868,-2.473453,-2.469731,-2.471587,-2.446948,0.2239832,0.1399151,5.599964,26.12445,25.94872,25.86382,25.79201,0.02259047,0.009217833,0.007069592,0.004927912,0.0424604,0.02960126,0.01417124,0.00987641
20.65,0.03620045,4,-2.612276,-2.602484,-2.597435,-2.597587,-2.594735,-2.595242,-2.591407,-2.593308,-2.566665,0.2212705,0.1322817,5.619429,31.11318,30.90597,30.80415,30.7199,0.02153273,0.008594831,0.006737541,0.00459773,0.04046615,0.02762691,0.01350585,0.009219955
21.65,0.03614362,4,-2.739895,-2.730121,-2.724629,-2.724805,-2.721751,-2.722277,-2.718161,-2.720201,-2.691302,0.2186095,0.1243419,5.638523,36.82976,36.58775,36.46557,36.36746,0.02052978,0.00788148,0.006423013,0.00421958,0.03857772,0.02536611,0.01287604,0.008468212
22.65,0.03608431,4,-2.873216,-2.863565,-2.857399,-2.857646,-2.854246,-2.854863,-2.85029,-2.852563,-2.821078,0.2159966,0.116117,5.657262,43.22171,42.94369,42.79601,42.68279,0.01957717,0.007084382,0.006124564,0.003796844,0.03678693,0.02283985,0.01227916,0.007628147
23.65,0.03602216,4,-3.013036,-3.003432,-2.996395,-2.996706,-2.992913,-2.993586,-2.988437,-2.991002,-2.956526,0.2134228,0.1076671,5.675705,50.17243,49.86758,49.68055,49.55098,0.01866869,0.006218111,0.005840459,0.003336606,0.03508253,0.02009408,0.01171152,0.006715077
24.65,0.03595658,4,-3.160734,-3.151194,-3.143051,-3.14335,-3.13897,-3.139706,-3.133721,-3.136706,-3.098591,0.2108726,0.09909303,5.693948,57.50272,57.1601,56.94027,56.79305,0.01779632,0.005305005,0.005567941,0.002852113,0.03345013,0.01720017,0.01116856,0.005752801
25.65,0.03588667,4,-3.318353,-3.308758,-3.299004,-3.299261,-3.294203,-3.294836,-3.287806,-3.291287,-3.248716,0.2083255,0.09053364,5.712126,64.96869,64.6262,64.33435,64.16966,0.01695101,0.004375426,0.00530473,0.002356322,0.03187385,0.01425405,0.01064514,0.004773099
26.65,0.03581109,4,-3.488986,-3.479473,-3.467257,-3.467503,-3.461201,-3.461921,-3.453001,-3.457429,-3.408896,0.2057566,0.08215802,5.730403,72.29251,71.89535,71.58543,71.40139,0.016122,0.003463919,0.005047311,0.001873801,0.03033599,0.0113661,0.01013587,0.003813032
27.65,0.03572805,4,-3.676654,-3.667188,-3.65108,-3.651322,-3.643206,-3.643949,-3.632193,-3.638027,-3.581685,0.2031391,0.07415215,5.748958,79.15686,78.74727,78.38013,78.17858,0.01529908,0.002609908,0.004793191,0.001419146,0.02882048,0.00866089,0.009635817,0.002913634
28.65,0.03563489,4,-3.887557,-3.878076,-3.855448,-3.855629,-3.844579,-3.845216,-3.828762,-3.836838,-3.770076,0.2004482,0.0666945,5.76796,85.27362,84.77362,84.43154,84.21061,0.0144691,0.001849142,0.004539116,0.001019386,0.02731091,0.006252364,0.009141115,0.002113375
29.65,0.03552783,4,-4.130283,-4.120868,-4.086392,-4.08652,-4.070293,-4.070411,-4.046174,-4.058495,-3.97729,0.1976664,0.05992818,5.78754,90.39356,89.81416,89.49259,89.25435,0.01361879,0.001212492,0.004282586,0.000685094,0.02579641,0.004238478,0.008649958,0.001444381
