"REW";"WR";"WR2";"RUinst";"Psoil";"Ksoil";"Kplant";"Ktotal";"ECav1";"ECav2";"ECav3";"ETurg1";"ETurg2";"E1";"E2";"CumE";"Edead";"Pmin";"PLC";"WatRelX";"WatRelS";"WatCS";"WatCX";"Pturg";"Rs"
1;228.91578393028;228.852;179.91578393028;0;161495489.250299;2;1.99999997523151;2;2;2;2;2;2;2;0.648;0.648;-1.00000001238425;0.0131242652684837;0.0637839292048306;1.07479778452269e-09;1.6199999989252;4.79621607079517;2.46776016465378;0.0541484188010846
0.996763345874125;228.270199156166;228.204;179.270199156166;-0.000248105501260873;51744091.2067535;1.97375146946303;1.97375139417531;2;2;2;1.99999999193452;2;1.99999999193452;2;0.648;0.648;-1.01354694643034;0.0133793473017363;0.00123969868160787;0.00117552720485588;1.61882447172035;4.79497637211356;2.4568756534977;0.0548740528781561
0.993186698926128;227.622282856462;227.556;178.622282856462;-0.00045325941604883;39741789.5828114;1.97324130539653;1.97324120742205;2;2;2;1.99117862325528;2;1.99117862325528;2;0.648;0.648;-1.01401409145083;0.0133882300978518;4.31703891213295e-05;4.05299067591135e-05;1.61878394181359;4.79493320172444;2.45650037658327;0.0548990713391185
0.989597134938848;226.974318121301;226.908;177.974318121301;-0.000640895903360562;32941940.316676;1.9732235398043;1.97322342160813;2;2;2;1.9908744795072;2;1.9908744795072;2;0.648;0.648;-1.01421086375325;0.0133919734783921;1.81928294259648e-05;1.7072009149145e-05;1.61876686980444;4.79491500889501;2.45634230242448;0.0549096096163711
0.986007302611083;226.326350747743;226.26;177.326350747743;-0.00081906611045588;28274673.4343832;1.97321605304322;1.9732159153376;2;2;2;1.99074636806394;2;1.99074636806394;2;0.648;0.648;-1.01439288966124;0.0133954372439851;1.68339007816386e-05;1.57925419884927e-05;1.61875107726245;4.79489817499423;2.45619607518384;0.05491935809908
0.982417455666168;225.678382291419;225.612;176.678382291419;-0.000991460274052107;24772493.0813746;1.97320912551203;1.97320896833956;2;2;2;1.99062785797359;2;1.99062785797359;2;0.648;0.648;-1.01456885227374;0.0133987864713594;1.62772450393577e-05;1.52664304209513e-05;1.61873581083203;4.79488189774919;2.45605471934661;0.0549287818215621
0.978827602722542;225.030413145356;224.964;176.030413145356;-0.00116010296569197;22004830.6700954;1.97320242705728;1.97320225011761;2;2;2;1.99051329591956;2;1.99051329591956;2;0.648;0.648;-1.01474094592327;0.0134020628568607;1.59232335361795e-05;1.49307031643849e-05;1.61872088012886;4.79486597451566;2.45591647209509;0.0549379983049969
0.975237745957648;224.382443545091;224.316;175.382443545091;-0.00132626617474547;19741852.6694312;1.97319587428628;1.9731956770656;2;2;2;1.99040125322356;2;1.99040125322356;2;0.648;0.648;-1.01491048554333;0.0134052913905376;1.56906736697533e-05;1.47090616661451e-05;1.6187061710672;4.79485028384199;2.45578027707966;0.0549470779726921
0.971647886676404;223.734473651625;223.668;174.734473651625;-0.00149082280769731;17846257.9726977;1.97318941721892;1.97318919905128;2;2;2;1.99029087376543;2;1.99029087376543;2;0.648;0.648;-1.01507836979083;0.0134084891570238;1.5541145123113e-05;1.45653886777625e-05;1.61869160567852;4.79483474269687;2.45564541236969;0.0549560689533574
0.968058025770774;223.086503582372;223.02;174.086503582372;-0.00165441046968703;16229445.4601985;1.97318302168595;1.97318278178553;2;2;2;1.99018157245539;2;1.99018157245539;2;0.648;0.648;-1.0152452538837;0.0134116686188476;1.54521844635604e-05;1.44785627196904e-05;1.6186771271158;4.7948192905124;2.45551135160376;0.0549650063377522
0.964468163891257;222.438533427151;222.372;173.438533427151;-0.00181751736708145;14830922.5100819;1.9731766627623;1.97317640024151;2;2;2;1.99007292270303;2;1.99007292270303;2;0.648;0.648;-1.01541163888364;0.0134148393123342;1.54095703447664e-05;1.44352086974882e-05;1.6186626919071;4.79480388094206;2.45537769226397;0.054973916960405
0.960878301535462;221.790563257311;221.724;172.790563257311;-0.00198053152914054;13607566.9999696;1.97317032137533;1.97317003525508;2;2;2;1.9899645982871;2;1.9899645982871;2;0.648;0.648;-1.01557792266399;0.0134180088156669;1.54037861971121e-05;1.44263736070764e-05;1.6186482655335;4.79478847715586;2.45524411473057;0.0549828221292983
0.957288439098674;221.142593131307;221.076;172.142593131307;-0.0021437709504215;12527573.084327;1.97316398236867;1.97316367158417;2;2;2;1.98985634017128;2;1.98985634017128;2;0.648;0.648;-1.01574443104887;0.0134211833403077;1.5428189754142e-05;1.4445806161191e-05;1.61863381972733;4.79477304896611;2.45511035726612;0.0549917392935953
0.953698576904746;220.494623098291;220.428;171.494623098291;-0.00230750303476345;11566823.8027113;1.97315763331938;1.97315729672306;2;2;2;1.98974793623006;2;1.98974793623006;2;0.648;0.648;-1.01591143786627;0.0134243681118522;1.54779897061941e-05;1.44889949210369e-05;1.61861933073241;4.7947575709764;2.45497619990574;0.0550006831176206
0.95010871522599;219.846653200527;219.78;170.846653200527;-0.00247195767520028;10706609.0493241;1.9731512637763;1.97315090013874;2;2;2;1.98963920819258;2;1.98963920819258;2;0.648;0.648;-1.01607917842014;0.013427567625901;1.55496382773482e-05;1.45525973257149e-05;1.61860477813509;4.79474202133812;2.4548414536342;0.0550096662023896
0.946518854296548;219.198683475064;219.132;170.198683475064;-0.00263733636290913;9932131.20180179;1.9731448647482;1.97314447275782;2;2;2;1.98953000287115;2;1.98953000287115;2;0.648;0.648;-1.01624785886289;0.0134307858260758;1.56404528493744e-05;1.46340839941365e-05;1.61859014405109;4.79472638088527;2.45470595285648;0.0550186995875711
